Rk,Player,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty
1,Budda Baker*\BakeBu00,ARI,23,FS,16,16,0,0,0,0,6,1,0,1,0,0,0.5,147,104,43,7,2,
2,Zach Cunningham\CunnZa00,HOU,25,RILB,16,16,0,0,0,0,2,0,0,2,24,0,2.0,142,99,43,7,3,
3,Blake Martinez\MartBl01,GNB,25,IL/LILB,16,16,1,22,0,22,2,1,0,0,0,0,3.0,155,97,58,5,3,
4,Eric Reid\ReidEr00,CAR,28,SS,16,16,0,0,0,0,6,1,0,2,0,0,4.0,130,97,33,7,5,
5,Jordan Hicks\HickJo00,ARI,27,RILB,16,16,3,64,0,48,6,2,0,1,0,0,1.5,150,93,57,11,7,
6,Joe Schobert\SchoJo00,CLE,26,ML/MLB,16,16,4,24,0,20,9,2,0,1,21,0,2.0,133,89,44,7,4,
7,Fred Warner\WarnFr00,SFO,23,MLB,16,16,1,46,1,46,9,3,0,0,0,0,3.0,118,89,29,7,5,
8,Demario Davis+\DaviDe00,NOR,30,LLB,16,16,1,1,0,1,12,,,,,,4.0,111,87,24,11,9,
9,Bobby Wagner*+\WagnBo00,SEA,29,MLB,16,16,1,6,0,6,6,1,0,1,5,0,3.0,159,86,73,7,4,
10,Anthony Walker\WalkAn01,IND,24,MLB,16,16,1,0,0,0,2,1,0,0,0,0,2.5,124,84,40,6,3,
11,Jaylon Smith*\SmitJa05,DAL,24,MLB,16,16,1,0,0,0,9,2,0,1,6,0,2.5,142,83,59,6,3,
12,Lavonte David\DaviLa00,TAM,29,RILB,16,16,1,26,0,26,7,3,0,1,0,0,1.0,123,82,41,10,7,
13,Tracy Walker\WalkTr01,DET,24,FS,13,12,1,0,0,0,8,1,0,0,0,0,0.0,103,82,21,6,0,
14,Antoine Bethea\BethAn20,NYG,35,FS,16,16,1,7,0,7,6,0,0,2,0,0,0.0,110,81,29,2,0,
15,Luke Kuechly*\KuecLu00,CAR,28,IL/RILB,16,16,2,26,0,25,12,,,,,,0.0,144,81,63,4,5,1
16,Shawn Williams\WillSh02,CIN,28,SS,16,15,1,12,0,12,3,,,,,,1.0,114,80,34,5,3,
17,Tahir Whitehead\WhitTa00,OAK,29,LLB,16,16,0,0,0,0,1,,,,,,0.0,108,79,29,6,1,
18,Landon Collins\CollLa00,WAS,25,SS,15,15,0,0,0,0,4,2,0,0,0,0,1.0,117,78,39,9,3,
19,Todd Davis\DaviTo01,DEN,27,RILB,14,14,0,0,0,0,1,,,,,,0.0,134,78,56,6,1,
20,Cory Littleton\LittCo01,LAR,26,IL/RILB,16,16,2,32,0,26,9,2,0,4,16,0,3.5,134,78,56,6,5,
21,Jerome Baker\BakeJe00,MIA,23,ROLB,16,15,1,34,0,34,4,2,0,0,0,0,1.5,126,76,50,3,5,
22,De'Vondre Campbell\CampDe00,ATL,26,LLB,16,15,2,-5,0,0,5,3,0,1,0,0,2.0,129,75,54,6,2,
23,Shaq Thompson\ThomSh01,CAR,25,LILB,14,14,0,0,0,0,3,,,,,,3.0,109,75,34,11,4,
24,Cole Holcomb\HolcCo00,WAS,23,LILB,16,15,0,0,0,0,1,3,0,0,0,0,1.0,105,74,31,6,2,
25,Logan Ryan\RyanLo00,TEN,28,CB/LCB,16,16,4,16,0,16,18,4,0,0,0,0,4.5,113,73,40,4,8,
26,Devin Bush Jr.\BushDe01,PIT,21,lilb,16,15,2,6,0,6,4,1,0,4,20,1,1.0,109,72,37,9,2,
27,Kyle Fuller*\FullKy00,CHI,27,LCB,16,16,3,37,0,29,12,,,,,,0.0,82,72,10,1,0,
28,Jessie Bates III\BateJe00,CIN,22,FS,16,16,3,33,0,20,9,1,0,1,0,0,0.0,100,71,29,0,0,
29,Terrell Edmunds\EdmuTe00,PIT,22,SS,16,16,0,0,0,0,3,,,,,,0.0,105,71,34,2,2,
30,Darius Leonard*\LeonDa00,IND,24,LLB,13,13,5,92,1,80,7,2,0,0,0,0,5.0,121,71,50,7,6,
31,Jordan Poyer\PoyeJo00,BUF,28,SS,16,16,2,0,0,0,3,3,0,4,31,0,1.0,107,71,36,4,1,
32,Eric Kendricks*+\KendEr00,MIN,27,MLB,15,15,0,0,0,0,12,2,0,2,0,0,0.5,110,70,40,4,2,
33,Jayon Brown\BrowJa06,TEN,24,RILB,14,14,1,0,0,0,8,0,0,1,46,1,1.0,105,69,36,3,3,
34,Rashaan Evans\EvanRa01,TEN,24,LILB,16,16,,,,,,0,0,1,53,1,2.5,111,69,42,9,8,
35,Eric Weddle\WeddEr99,LAR,34,FS,16,16,0,0,0,0,4,,,,,,0.0,108,69,39,1,1,
36,Tavon Wilson\WilsTa00,DET,29,SS,16,13,0,0,0,0,5,0,0,2,14,0,1.0,98,69,29,3,2,
37,Adrian Amos\AmosAd00,GNB,26,SS,16,16,2,12,0,9,8,,,,,,1.0,84,68,16,4,2,
38,Deion Jones\JoneDe01,ATL,25,MLB,16,16,1,27,1,27,5,0,0,1,5,0,0.0,110,68,42,8,4,
39,K.J. Wright\WrigK.00,SEA,30,RLB,16,16,3,10,0,11,11,,,,,,0.0,132,67,65,5,1,
40,Vonn Bell\BellVo00,NOR,25,SS,13,13,1,19,0,19,5,2,0,5,38,1,1.5,89,66,23,4,4,
41,Tremaine Edmunds*\EdmuTr01,BUF,21,MLB,16,16,1,0,0,0,9,,,,,,1.5,115,66,49,10,4,1
42,Byron Murphy\MurpBy00,ARI,21,LCB,16,16,1,0,0,0,10,,,,,,0.0,78,66,12,3,0,
43,Roquan Smith\SmitRo07,CHI,22,RILB,12,12,1,0,0,0,2,,,,,,2.0,101,66,35,5,2,
44,Levi Wallace\WallLe00,BUF,24,LCB,16,16,2,2,0,2,9,,,,,,0.0,76,66,10,4,0,
45,Thomas Davis\DaviTh20,LAC,36,LLB,16,16,0,0,0,0,2,,,,,,1.0,112,65,47,3,2,
46,Tre Flowers\FlowTr01,SEA,24,RCB,15,15,3,0,0,0,8,1,0,1,0,0,2.0,82,65,17,2,2,
47,Matt Milano\MilaMa00,BUF,25,LLB,15,15,0,0,0,0,9,1,0,1,0,0,1.5,101,65,36,7,7,
